scope,prune_amount,quant,kd_loss,test_acc,latency_ms_per_image,state_dict_mb,effective_sparsity,ckpt_path
layer4,0.1,int8_fx,0.8906274366378785,90.16,10.783079788088799,10.789506912231445,0.07472820181508226,outputs_search/cand_layer4_p10_int8_fx.pt
layer3_layer4,0.1,int8_fx,0.9337904345989227,85.85,10.26341900229454,10.790494918823242,0.09377656698363264,outputs_search/cand_layer3_layer4_p10_int8_fx.pt
layer4,0.2,int8_fx,1.2589984154701233,61.94,10.734391808509827,10.789506912231445,0.14945640363016452,outputs_search/cand_layer4_p20_int8_fx.pt
layer3_layer4,0.2,int8_fx,1.406548385620117,49.05,3.805542513728142,10.790494918823242,0.18682050453770566,outputs_search/cand_layer3_layer4_p20_int8_fx.pt
layer4,0.3,int8_fx,1.4347547745704652,53.93,10.427958741784096,10.789506912231445,0.22564986430436604,outputs_search/cand_layer4_p30_int8_fx.pt
layer4,0.4,int8_fx,1.732364935874939,22.55,10.812068730592728,10.789506912231445,0.3003780661194483,outputs_search/cand_layer4_p40_int8_fx.pt
layer3_layer4,0.3,int8_fx,1.9506192326545715,19.33,3.8568470627069473,10.790494918823242,0.2820623303804575,outputs_search/cand_layer3_layer4_p30_int8_fx.pt
layer3_layer4,0.4,int8_fx,2.1225257444381715,10.0,3.0219193547964096,10.790494918823242,0.37510626793453056,outputs_search/cand_layer3_layer4_p40_int8_fx.pt
